OOP,GDPpc,Rural,Water,Sanitation,Primary,HCexpend,GenderEquality,Free,VoiceandAccountability,PoliticalStabilityNoViolence,GovernmentEffectiveness,ControlofCorruption,RegulatoryQuality,RuleofLaw
87.866748,1096.7556,77.763,32.5,24.6,93.93523,9.9614059,,1,-1.2810514,-2.2627971,-1.1777918,-1.5468524,-1.4878923,-1.6710041
84.147498,1066.6851,77.438,36,25,104.87988,9.7864321,,1,-1.2478927,-2.2954814,-.88330245,-1.4242998,-1.5027721,-1.7100126
85.382706,1145.7175,77.105,39.5,25.5,97.74478,9.2114414,27.3,0,-1.179165,-2.0884218,-1.2269782,-1.4642575,-1.6461922,-1.7229924
82.3522,1173.0014,76.763,43,26,100.98891,9.1393612,27.3,0,-1.1908479,-2.2310944,-1.4880807,-1.4445164,-1.6741097,-1.9557251
83.757964,1297.8208,76.413,46.5,26.5,97.87896,10.021151,27.7,0,-1.1246183,-2.3962874,-1.4031433,-1.5905142,-1.6809808,-1.9243584
76.058246,1310.717,76.054,50,27,99.46714,9.7465499,27.7,1,-1.2360957,-2.689353,-1.4784979,-1.6371688,-1.6010792,-1.946836
74.143771,1547.5391,75.687,53.5,27.5,95.72796,8.7270493,27.3,1,-1.4604512,-2.7044499,-1.4994659,-1.5132792,-1.6701051,-1.9089011
74.349852,1637.2971,75.311,57.1,28,99.39882,8.6527382,27.7,1,-1.4815816,-2.5498192,-1.4655714,-1.6244657,-1.5292581,-1.901093
76.135568,1695.1534,74.926,60.6,28.5,97.40102,8.4497933,27.7,1,-1.4041382,-2.4831252,-1.4576222,-1.549657,-1.5398129,-1.934589
74.407891,1893.0757,74.532,64.2,29,103.94475,8.645989,27.7,1,-1.3193326,-2.392417,-1.3975792,-1.4068656,-1.2100263,-1.7230048
60.441179,6286.2049,55.427,96.3,85.9,99.51508,6.1638147,5.7,0,.05612047,-.33053011,-.60726333,-.76875007,-.4685151,-.87672716
53.797934,6699.2253,54.349,96.3,86.5,,6.5138717,6.4,0,.03376959,-.44978902,-.44379953,-.67165804,-.16130692,-.75673068
52.304118,7119.29,53.269,96.2,87.2,,6.2794885,7.1,0,.03241044,-.49362743,-.62725574,-.74666435,-.29962361,-.80546606
51.828136,7537.4544,52.185,96.2,87.8,,5.9516594,7.1,0,.05417793,-.48508534,-.45636216,-.80598044,-.09402447,-.73036456
54.935205,8055.8575,51.098,96.1,88.4,,6.4381842,7.1,0,.09305228,-.1981429,-.37783206,-.65916407,.06997498,-.69892108
53.951133,8747.2075,50.009,96,89,,6.1113869,7.1,0,.15937747,-.03311673,-.3471868,-.54541945,.14566292,-.63662791
52.761512,9129.1759,48.924,96,89.6,,5.9956276,16.4,0,.12659891,-.05123255,-.23899344,-.49327832,.24766541,-.53258288
54.447692,9559.1572,47.837,95.9,90.1,,5.5339949,16.4,0,.11205761,-.19131424,-.27142751,-.48857775,.23225209,-.43575948
51.902922,9897.18,46.753,95.8,90.7,,6.0284114,15.7,0,.05030214,-.28855574,-.20146288,-.64736229,.23524328,-.48532811
52.240691,10157.164,45.67,95.7,91.2,,5.9729501,15.7,0,-.00247041,-.15804386,-.28033522,-.72314572,.16802786,-.56930131
21.148637,11251.412,37.716,87.4,93.3,105.47602,3.6010267,6.2,1,-1.1365883,-1.7780659,-.61475641,-.66810143,-.55108792,-.54437536
26.094327,11574.632,36.939,86.6,93.7,106.4155,3.5440633,6.2,1,-.81511801,-1.3715202,-.52093226,-.62548798,-.54495072,-.55413365
25.820469,12077.229,36.17,85.9,94,106.71249,3.1360301,6.2,1,-.76332688,-.9294275,-.43736562,-.4221752,-.43402088,-.70364922
24.229845,12088.088,35.407,85.2,94.3,106.58035,3.1385214,6.2,1,-.92371559,-1.1195562,-.5221321,-.48602429,-.577564,-.64448512
21.665202,12289.027,34.652,84.4,94.6,107.25813,3.5080597,7.7,1,-.99991471,-1.1253476,-.60284275,-.51552171,-.62158918,-.71178389
18.915002,12314.347,33.903,83.7,94.9,106.58052,3.8271525,7.7,1,-.98955935,-1.0928464,-.61181509,-.56176227,-.79384488,-.70640588
19.557885,12285.129,33.178,83.7,95,109.67783,4.6059657,7.7,1,-1.0572866,-1.2152296,-.57828456,-.54650897,-1.0697411,-.75809383
19.742354,12494.067,32.474,83.8,95.1,113.32272,4.1694407,7.7,1,-1.0269462,-1.2624909,-.47644365,-.48780516,-1.1655459,-.74908048
17.026469,12605.772,31.791,83.9,95.1,115.48495,4.4124369,8,1,-1.0036604,-1.3646598,-.5794974,-.50750721,-1.1891589,-.7905829
15.036109,12778.547,31.13,83.9,95.2,117.40774,5.2470358,31.6,1,-.90104699,-1.3185661,-.5528897,-.48817089,-1.292612,-.77102262
46.865658,3818.6627,65.355,47.4,46.8,,4.9305231,15.5,1,-1.2656353,-1.0270935,-1.1384193,-1.3037897,-1.2331439,-1.5297953
42.318486,4086.8584,64.595,48.1,48.3,,5.1211097,15,1,-1.2757474,-1.0392075,-1.2846,-1.2811137,-1.2463772,-1.4590615
38.093895,4667.3457,63.831,48.8,49.8,,4.1580041,15,1,-1.2379285,-.89393193,-1.1688443,-1.3316549,-1.2880895,-1.4427054
22.724656,5444.8903,63.058,49.5,51.3,,4.5424361,15,1,-1.2363507,-.54090726,-1.3683214,-1.2277778,-1.1370362,-1.2969705
26.943365,6452.5601,62.278,50.2,52.8,114.90023,3.3831109,15,1,-1.1674806,-.69660074,-1.2403262,-1.3204083,-1.0443062,-1.3959322
19.682755,7102.8703,61.491,51,54.3,122.22972,3.8449315,37.3,1,-1.1258813,-.34996152,-1.0670632,-1.283269,-1.0612762,-1.3968657
29.431936,7038.9574,60.701,51.8,55.8,121.35115,4.3705962,38.6,1,-1.131708,-.36980394,-.97458762,-1.4175861,-1.0186403,-1.2404685
28.074835,7047.052,59.903,52.6,57.2,123.83676,3.4082583,38.6,1,-1.1188532,-.21632487,-1.1282965,-1.3192176,-1.0179468,-1.2557944
26.20729,7094.0843,59.1,53.4,58.7,140.4537,3.442376,38.2,1,-1.1223335,-.36032221,-1.1477305,-1.3378862,-1.0782752,-1.2478446
26.686085,7230.4965,58.301,54.3,60.1,,3.4740513,34.1,1,-1.0712788,-.38092172,-1.0232863,-1.2953825,-.97750342,-1.276334
31.08309,,10.29,97.1,93.2,112.57673,8.216066,30.7,0,.32808548,-.38041341,-.00952086,-.52294081,-.71931738,-.82046384
31.074656,,10.101,97.3,93.7,113.65752,8.1881387,33.7,0,.33938023,-.57073909,-.02051292,-.45447451,-.691809,-.82637858
29.881243,,9.916,97.5,94.1,113.11118,8.3296684,36.2,0,.24115084,-.0138748,-.0882894,-.43084329,-.56761509,-.58166534
29.058409,,9.734,97.7,94.6,114.55408,8.2557904,35,0,.36054608,.01732904,-.03967994,-.39737868,-.66088027,-.60251439
25.68097,,9.555,97.9,95,115.67275,8.2123098,40,0,.41257557,.12265763,-.03098634,-.39808014,-.69531858,-.63314462
22.605116,,9.378,98.1,95.5,116.96438,8.2842091,40,0,.30727169,-.07304455,-.12884219,-.47370946,-.73546124,-.70004636
20.128726,,9.205,98.2,95.9,117.59334,9.4081638,38.5,0,.24471015,-.2351245,-.32600522,-.50360018,-.84620422,-.7088902
21.613505,,9.034,98.4,96.4,118.43477,8.1877399,38.5,0,.33023652,-.08724798,-.19013743,-.41350728,-.7578311,-.62072974
21.0187,,8.867,98.6,96.8,117.56599,7.8726892,37.4,0,.31569126,.13942522,-.13659874,-.40117291,-.72267723,-.58749288
20.105152,,8.705,98.7,97.2,,8.4933616,37.4,0,.25763911,.08381284,-.25490943,-.4857558,-.96442562,-.71403646
69.13352,4181.7197,35.75,94.3,89.3,94.33116,5.5638807,4.6,0,-.5030849,.20636868,-.25527105,-.5539906,.17538188,-.32531846
71.34811,4635.3033,35.783,94.9,89.4,94.62789,5.5011817,5.3,0,-.57184434,-.12276313,-.1438864,-.60665643,.13206694,-.44641238
61.64675,5296.8141,35.816,95.5,89.6,94.30546,5.2521164,5.3,0,-.5951485,-.06217919,-.1346518,-.63428104,.07730618,-.3692041
52.654547,6019.8601,35.85,96.1,89.7,97.71126,4.5777507,5.3,0,-.74170905,-.27943394,-.21460508,-.58624417,.28132063,-.49205843
49.452829,6877.3824,35.883,96.7,89.8,108.44642,4.3088308,9.2,0,-.75890493,.1103351,-.35308415,-.66368169,.26840186,-.45380896
51.398368,7382.5246,36.003,97.3,90,107.51562,3.799323,8.4,0,-.85706705,-.01625459,-.1610408,-.63457245,.30728492,-.29254144
53.078374,6357.8291,36.211,98,90.1,102.40343,4.545322,9.2,0,-.88324118,.22983417,-.0217741,-.55635434,.28070089,-.45055747
55.872175,6507.9144,36.42,98.6,90.2,,4.5622591,9.2,0,-.84518206,.02745953,-.16648656,-.65060961,.29835165,-.46763515
47.04559,6812.352,36.629,99.2,90.4,,3.7135449,8.4,0,-.67933863,-.08893399,-.10488256,-.5963552,.26263022,-.42435893
54.569814,7290.6391,36.839,99.8,90.5,,4.4856239,10.7,0,-.57842636,.11476234,-.0364214,-.52718538,.32889485,-.39812204
18.264933,37035.053,12.305,100,100,101.03307,8.337224,25.3,0,1.4346174,.84994555,1.8148082,1.9449878,1.5840256,1.8379917
18.262971,38129.815,12.151,100,100,101.36622,8.5865168,24.7,0,1.5223211,.91968668,2.0388212,2.0969677,1.734342,1.8141108
18.619509,38840.241,12,100,100,101.51868,8.4793826,24.7,0,1.5246861,.87843728,1.7656513,1.9742008,1.5979233,1.71163
18.657259,39416.037,11.85,100,100,101.78416,8.5203874,24.7,0,1.4207183,.91802645,1.7559556,1.9914446,1.6183741,1.7474573
18.035004,40643.451,11.702,100,100,103.4919,8.553138,26.7,0,1.3974115,.92778522,1.824031,2.0415981,1.6750185,1.7354206
18.154622,41311.939,11.555,100,100,103.45889,8.7509947,26.7,0,1.4012394,.95026219,1.7823105,2.071748,1.7577902,1.7535763
18.577872,41170.048,11.41,100,100,103.78597,9.0422838,27.3,0,1.4039059,.82696575,1.6981727,2.0783315,1.8169361,1.7319517
19.282442,41329.951,11.267,100,100,104.43138,8.9480525,24.7,0,1.4434738,.87139112,1.7699274,2.0442386,1.6917942,1.7632096
18.29819,41705.997,11.125,100,100,104.4172,9.1582364,24.7,0,1.4773412,.92976248,1.6979499,2.080142,1.8523644,1.7414312
18.514322,42529.87,10.985,100,100,104.8384,9.1313798,24.7,0,1.5035701,.9950074,1.612151,1.9955636,1.7695535,1.7459788
16.30969,39732.713,34.188,100,100,99.35276,10.303533,33.9,0,1.285673,.9487462,2.0188215,2.102963,1.5432684,1.8621519
15.822605,40555.386,34.182,100,100,99.85382,10.428303,33.9,0,1.4551284,1.0745803,1.9098386,2.1481042,1.5447444,1.8461998
15.596662,41142.303,34.176,100,100,100.33461,10.418699,33.9,0,1.3541903,1.1046765,1.7203019,1.9553825,1.6183637,1.863113
15.787151,42311.039,34.171,100,100,101.43404,10.217661,32.2,0,1.4123049,1.0792142,1.8194296,1.9911367,1.654001,1.909444
15.325603,43673.542,34.165,100,100,101.58678,10.261683,32.8,0,1.4048468,1.2784246,1.8656482,2.1025217,1.7047164,1.9591699
14.509477,44157.046,34.159,100,100,100.72173,10.489542,27.3,0,1.3968401,1.3398545,1.7716068,1.9180791,1.6067652,1.9265503
14.20553,42335.528,34.153,100,100,100.34562,11.227125,27.9,0,1.4185193,1.1659884,1.6736236,1.7640096,1.46487,1.7870106
15.240103,43005.543,34.148,100,100,100.15052,11.640791,27.9,0,1.4658701,1.123721,1.8381406,1.6266259,1.4662598,1.8058
15.329373,44239.864,34.142,100,100,100.37709,11.344921,27.9,0,1.4326835,1.1786493,1.6122804,1.4448041,1.3949938,1.810711
15.199644,44504.851,34.136,100,100,101.20785,11.466,27.9,0,1.4573261,1.3232757,1.557253,1.349846,1.5143577,1.8418391
77.354005,5891.1371,48.012,76.3,69.6,96.21324,6.563288,10.5,1,-1.0613329,-1.0049353,-.80206007,-.9468388,-.59636021,-.81491518
78.998337,6435.4481,47.811,77.1,72.1,97.26133,7.9245439,10.5,1,-1.0443625,-1.0866115,-.75060076,-1.1115291,-.58775699,-.84477699
82.358391,8051.6748,47.611,77.9,74.6,95.52697,7.8632959,13,1,-1.0823116,-1.1149075,-.6806491,-.98911059,-.54876071,-.74332362
78.431783,10711.182,47.411,78.6,77,94.21666,6.1680676,11.3,1,-1.2204447,-1.0848389,-.67500073,-.98963094,-.49545094,-.80642194
72.564016,13243.213,47.21,79.3,79.5,94.7712,5.0952529,11.4,1,-1.1761588,-.64600414,-.76533568,-1.0177771,-.4409903,-.7899648
71.747165,14364.994,47.01,80.1,82,94.07247,4.3740665,11.4,1,-1.2782242,-.33087176,-.76347303,-1.0413134,-.34868577,-.760903
68.501536,15393.893,46.81,80.1,82,95.06857,5.8502405,11.4,1,-1.2105021,-.29472613,-.62995243,-1.110044,-.29879621,-.82822591
69.184612,15950.257,46.599,80.2,82,93.7623,5.3336001,16,1,-1.2560357,-.25327805,-.79394639,-1.1790172,-.36834714,-.85301208
69.829175,15754.152,46.377,80.2,82,95.57363,5.009325,16,1,-1.2477186,-.52503341,-.75536084,-1.118305,-.36687326,-.86184746
68.99915,15888.218,46.144,80.2,82,97.9432,5.3938319,16,1,-1.2520232,-.68790072,-.77809823,-1.074127,-.46929324,-.80542964
19.243619,43251.489,11.559,100,99.2,,3.6195839,2.5,0,-.86187667,-.24192795,.42352575,.25133502,.79253012,.57368016
17.210647,42503.455,11.532,100,99.2,,4.0990391,2.5,0,-.8748374,-.23591477,.40709105,.24810937,.7238059,.56662899
17.418939,40823.676,11.5,100,99.2,,4.4935244,2.5,1,-.79902852,-.16272569,.4961032,.24150898,.71385396,.55323172
17.630164,40552.942,11.465,100,99.2,,4.2649416,2.5,1,-.97169679,-.50658613,.48394805,.2490038,.73200661,.48007783
18.003428,40083.379,11.425,100,99.2,,3.8325422,10,1,-1.2221702,-.96010119,.54676485,.23634505,.74322903,.39183244
16.464847,40657.798,11.381,100,99.2,,3.8837121,10,1,-1.3244653,-1.137499,.54037404,.39355499,.68716472,.27616307
59.685577,1766.9678,74.571,78.3,47.8,,3.035681,2,0,-.63129342,-1.1415571,-.70552069,-1.3336672,-.92397642,-1.0245765
58.724442,1850.5228,73.886,79,48.8,,3.1236106,2,0,-.68038851,-1.3795891,-.77599168,-1.4884099,-1.0952239,-.99768043
62.643301,1934.701,73.191,79.8,49.9,98.54247,3.2083802,14.8,0,-.60469973,-1.8414836,-.86490899,-1.4124454,-1.0324758,-.96667439
61.169078,2038.2734,72.483,80.5,50.9,99.69906,3.3983502,15.1,0,-.48347107,-1.4762107,-.77154803,-1.4229698,-.95555675,-.88548458
63.326517,2158.4808,71.763,81.2,52,99.29946,3.4578177,,0,-.5420602,-1.4982806,-.67916828,-1.0469868,-.90579975,-.83478314
62.126013,2264.8906,71.032,82,53,97.59279,3.5382471,6.3,0,-.46894234,-1.48281,-.70669818,-1.0160689,-.89075309,-.75750148
61.25934,2354.7593,70.291,82.7,54,101.1999,3.705068,18.6,0,-.30136904,-1.5410823,-.7869007,-1.0272481,-.84587473,-.77374071
61.348981,2459.2743,69.538,83.4,55,104.46174,3.693893,18.6,0,-.28116444,-1.3987305,-.74663574,-1.0232699,-.8340193,-.78638077
59.726234,2588.5005,68.775,84.1,56,114.20236,3.814253,19.7,0,-.3225064,-1.3929703,-.75855094,-1.0468478,-.80135864,-.71179157
63.346277,2724.6378,68.01,84.8,57,,3.5984388,19.7,0,-.41347063,-1.3542523,-.82505453,-.86569178,-.9631995,-.90826422
18.216454,8778.3013,28.585,99.6,94.7,101.49406,6.5892803,10.3,1,-1.4982034,.67955911,-.98844451,-.70494634,-1.3531114,-1.201385
17.258574,9850.7619,28.113,99.6,94.7,99.17145,6.5867893,29.4,1,-1.5873119,.16491391,-1.0781116,-.92218041,-1.2304643,-1.2556
19.857702,10851.456,27.646,99.6,94.6,97.56459,6.8863526,29.1,1,-1.7703179,.34750015,-1.1002432,-.87231416,-1.4752611,-1.1944554
22.181678,12009.931,27.184,99.6,94.6,98.44095,6.3368049,29.1,1,-1.7452984,.13160998,-1.1704533,-.62790567,-1.6385124,-1.2890993
23.584031,13102.815,26.727,99.6,94.5,100.84499,6.4377326,29.1,1,-1.6935134,.30697972,-1.1261244,-.6816116,-1.4321897,-1.1430385
27.45349,14487.797,26.274,99.6,94.5,103.88049,5.9491891,31.8,1,-1.5745739,.50249076,-1.121912,-.63776076,-1.2522,-1.0055171
26.90195,14548.838,25.828,99.6,94.5,104.96368,6.0850411,31.8,1,-1.5342512,.46829221,-1.1492738,-.64095414,-1.1499233,-.99774593
19.84725,15703.112,25.385,99.6,94.4,103.40835,5.5542041,31.8,1,-1.5364714,-.13286448,-1.1352651,-.72950178,-1.1569085,-1.0411448
26.642997,16603.39,24.954,99.6,94.4,101.2034,4.923659,31.8,1,-1.6406821,-.12109733,-1.0952104,-.72487754,-1.2066668,-1.0831538
19.462307,16906.922,24.533,99.6,94.3,99.13261,5.0364316,26.6,1,-1.5480483,.02118762,-.93961132,-.52315801,-1.0961666,-.92145222
19.830686,38254.679,2.708,100,100,102.76262,9.9676972,35.3,0,1.4558029,.83767998,1.9596791,1.381171,1.2884511,1.3164222
19.011118,39397.653,2.655,100,100,101.40232,10.008219,34.7,0,1.4493389,.70357561,1.9209378,1.3531455,1.3669214,1.3109354
18.828586,39923.616,2.603,100,100,101.30148,9.9832614,34.7,0,1.4117198,.78215426,1.7368646,1.3445445,1.2478505,1.2401882
20.923082,40704.388,2.552,100,100,101.8298,9.4811068,34.7,0,1.3613883,.84823012,1.7158148,1.249813,1.3214654,1.2000693
21.357152,41618.91,2.503,100,100,103.05937,9.5254429,35.3,0,1.3841901,.76797122,1.6106265,1.2968549,1.4163947,1.3062191
20.778288,41685.059,2.454,100,100,104.10438,9.912776,35.3,0,1.3471473,.62100786,1.3848189,1.3187076,1.3946457,1.3273108
19.621488,40268.192,2.406,100,100,104.31993,10.593752,38,0,1.3646448,.79210699,1.5870965,1.4279661,1.3222392,1.3555489
20.66071,40807.484,2.359,100,100,104.04486,10.50304,39.3,0,1.3819249,.78159022,1.5815514,1.4940935,1.2903934,1.3698657
19.676436,40997.457,2.313,100,100,103.66793,10.513919,38,0,1.3432688,.93469274,1.6597029,1.5597022,1.2445456,1.4036214
19.676436,40739.379,2.268,100,100,103.35533,10.794124,38,0,1.3488855,.90099382,1.5907079,1.5526721,1.2215309,1.3952789
52.18599,1593.8254,60.703,68.8,10.3,97.84089,4.6305786,6,0,.23643829,.66679257,-.33142,-.56892395,-.50215709,-.5188157
52.06679,1590.213,60.365,69.7,10.8,101.54091,4.5618102,7.2,0,.10026179,.25720799,-.36142954,-.49363977,-.47664562,-.59008825
47.724915,1583.8853,60.018,70.6,11.2,98.54523,4.7336726,7.2,0,.01257655,.4507896,-.62481135,-.9709425,-.57319432,-.59100848
47.206314,1592.4589,59.662,71.5,11.7,98.79342,4.7503574,7.2,0,.33074611,.51711196,-.56687188,-.61673802,-.4022111,-.56602561
46.170276,1615.652,59.297,72.4,12.2,,4.5459452,10.8,0,.33623627,.33381927,-.5142585,-.47354659,-.41892171,-.55109829
44.70594,1646.413,58.922,73.3,12.7,110.03426,4.1883082,10.8,0,.30152541,.33391991,-.4548119,-.53126967,-.48998037,-.56779557
42.533128,1641.3332,58.539,74.2,13.2,114.87367,4.3713588,10.8,0,.32650369,.37529013,-.55614263,-.67271161,-.32878277,-.67334795
44.526151,1636.5536,58.146,75.1,13.7,116.28954,4.3479277,10.8,0,.28878865,.22229932,-.5782274,-.73761427,-.32353094,-.70069855
43.674592,1643.3101,57.744,76,14.2,118.60752,4.4821505,8.4,0,.13686824,.29334295,-.53231049,-.63414353,-.33486545,-.71344495
44.262963,1685.2974,57.333,76.1,14.3,122.76612,4.4892577,8.4,0,.09236686,.31902426,-.53529477,-.92562479,-.3942886,-.64179063
31.591311,4366.6075,36.736,81.5,39.6,109.38125,5.5700359,18.5,0,-.08790185,-.86135072,-.27667102,-.79350972,-.0577812,-.48168772
29.318512,4464.2635,36.268,82.4,40.4,106.88948,5.3362163,19.2,0,-.19424076,-.68608785,-.54565573,-.77129334,-.17772135,-.68776768
